HGNC ID	Approved symbol	Accession numbers	entrezid
HGNC:50676	MIR3663HG	BC039338	101927704.0
HGNC:38899	MIR3664		100500844.0
HGNC:38939	MIR3665		100500861.0
HGNC:38940	MIR3666		100500896.0
HGNC:38990	MIR3667		100500882.0
HGNC:28010	MIR3667HG	BC048207	348645.0
HGNC:38982	MIR3668		100500879.0
HGNC:38968	MIR3669		
HGNC:38997	MIR3670-1		100500910.0
HGNC:43460	MIR3670-2		100846994.0
HGNC:50829	MIR3670-3		103504726.0
HGNC:50828	MIR3670-4		103504740.0
HGNC:38925	MIR3671		100500854.0
HGNC:38957	MIR3672		100500869.0
HGNC:38908	MIR3673		
HGNC:38915	MIR3674		100500912.0
HGNC:38973	MIR3675		100500876.0
HGNC:38927	MIR3676		
HGNC:38932	MIR3677		100500812.0
HGNC:55382	MIR3677HG		106660606.0
HGNC:38891	MIR3678		100500841.0
HGNC:38979	MIR3679		100500878.0
HGNC:38989	MIR3680-1		100500917.0
HGNC:43472	MIR3680-2		100847041.0
HGNC:38994	MIR3681		100500884.0
HGNC:52001	MIR3681HG		100506457.0
HGNC:38916	MIR3682		100500850.0
HGNC:38999	MIR3683		100500886.0
HGNC:38950	MIR3684		100500867.0
